pattern	dataset	question_or_input	passage	choices	gold	zero_shot	few_shot	cot	cot_sc	cot_sir	sge
zs_wrong_sir_right	boolq	does ethanol take more energy make that produces	All biomass goes through at least some of these steps: it needs to be grown, collected, dried, fermented, distilled, and burned. All of these steps require resources and an infrastructure. The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or ``energy returned on energy invested''). Figures compiled in a 2007 report by National Geographic Magazine point to modest results for corn ethanol produced in the US: one unit of fossil-fuel energy is required to create 1.3 energy units from the resulting ethanol. The energy balance for sugarcane ethanol produced in Brazil is more favorable, with one unit of fossil-fuel energy required to create 8 from the ethanol. Energy balance estimates are not easily produced, thus numerous such reports have been generated that are contradictory. For instance, a separate survey reports that production of ethanol from sugarcane, which requires a tropical climate to grow productively, returns from 8 to 9 units of energy for each unit expended, as compared to corn, which only returns about 1.34 units of fuel energy for each unit of energy expended. A 2006 University of California Berkeley study, after analyzing six separate studies, concluded that producing ethanol from corn uses much less petroleum than producing gasoline.		no	yes	yes	The relevant information is: The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or energy returned on energy invested''). So, the answer is yes.	The relevant information is: The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or energy returned on energy invested''). So, the answer is yes.	The relevant information is: The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or energy returned on energy invested''). So, the answer is no.	yes
zs_wrong_sir_right	boolq	is the liver part of the excretory system	The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the body. For example, the liver transforms ammonia (which is poisonous) into urea in fish, amphibians and mammals, and into uric acid in birds and reptiles. Urea is filtered by the kidney into urine or through the gills in fish and tadpoles. Uric acid is paste-like and expelled as a semi-solid waste (the ``white'' in bird excrements). The liver also produces bile, and the body uses bile to break down fats into usable fats and unusable waste.		yes	no	no	The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the body. So, the answer is yes.	The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the body. So, the answer is yes.	The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the body. So, the answer is yes.	No
zs_wrong_sir_right	boolq	does p o box come before street address	Street Addressing will have the same street address of the post office, plus a ``unit number'' that matches the P.O. Box number. As an example, in El Centro, California, the post office is located at 1598 Main Street. Therefore, for P.O. Box 9975 (fictitious), the Street Addressing would be: 1598 Main Street Unit 9975, El Centro, CA. Nationally, the first five digits of the zip code may or may not be the same as the P.O. Box address, and the last four digits (Zip + 4) are virtually always different. Except for a few of the largest post offices in the U.S., the 'Street Addressing' (not the P.O. Box address) nine digit Zip + 4 is the same for all boxes at a given location.		no	yes	yes	The relevant information is: Street Addressing will have the same street address of the post office, plus a unit number'' that matches the P.O. Box number. So, the answer is yes.	To answer this question, we should know that: Street Addressing will have the same street address of the post office, plus a unit number'' that matches the P.O. Box number. So, the answer is yes.	The relevant information is: Street Addressing will have the same street address of the post office, plus a unit number'' that matches the P.O. Box number. So, the answer is no.	yes
zs_wrong_sir_right	boolq	is a fire 7 the same as a kindle	The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon.com. Built with Quanta Computer, the Kindle Fire was first released in November 2011, featuring a color 7-inch multi-touch display with IPS technology and running a custom version of Google's Android operating system called Fire OS. The Kindle Fire HD followed in September 2012, and the Kindle Fire HDX in September 2013. In September 2014, when the fourth generation was introduced, the name ``Kindle'' was dropped. In September 2015, the fifth generation Fire 7 was released, followed by the sixth generation Fire HD 8, in September 2016. The seventh generation Fire 7 was released in June 2017.		yes	no	no	The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon.com. So, the answer is yes.	The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon.com. So, the answer is no.	The seventh generation Fire 7 was released in June 2017. So, the answer is yes.	No
zs_wrong_sir_right	boolq	is the us womens soccer team in the world cup	After the defeat in the 2016 Olympics, the USWNT underwent a year of experimentation which saw them losing 3 home games. If not for a comeback win against Brazil, the USWNT was on the brink of losing 4 home games in one year, a low never before seen by the USWNT. 2017 saw the USWNT play 12 games against teams ranked in the top-15 in the world. The USWNT heads into World Cup Qualifying in fall of 2018.		yes	no	no	The USWNT heads into World Cup Qualifying in fall of 2018. So, the answer is yes.	The USWNT heads into World Cup Qualifying in fall of 2018. The USWNT is not in the World Cup. So, the answer is no.	The USWNT has 3 home games this season, which is their first win. So, the answer is yes.	No
cot_wrong_sir_right	boolq	does ethanol take more energy make that produces	All biomass goes through at least some of these steps: it needs to be grown, collected, dried, fermented, distilled, and burned. All of these steps require resources and an infrastructure. The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or ``energy returned on energy invested''). Figures compiled in a 2007 report by National Geographic Magazine point to modest results for corn ethanol produced in the US: one unit of fossil-fuel energy is required to create 1.3 energy units from the resulting ethanol. The energy balance for sugarcane ethanol produced in Brazil is more favorable, with one unit of fossil-fuel energy required to create 8 from the ethanol. Energy balance estimates are not easily produced, thus numerous such reports have been generated that are contradictory. For instance, a separate survey reports that production of ethanol from sugarcane, which requires a tropical climate to grow productively, returns from 8 to 9 units of energy for each unit expended, as compared to corn, which only returns about 1.34 units of fuel energy for each unit of energy expended. A 2006 University of California Berkeley study, after analyzing six separate studies, concluded that producing ethanol from corn uses much less petroleum than producing gasoline.		no	yes	yes	The relevant information is: The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or energy returned on energy invested''). So, the answer is yes.	The relevant information is: The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or energy returned on energy invested''). So, the answer is yes.	The relevant information is: The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or energy returned on energy invested''). So, the answer is no.	yes
cot_wrong_sir_right	boolq	does p o box come before street address	Street Addressing will have the same street address of the post office, plus a ``unit number'' that matches the P.O. Box number. As an example, in El Centro, California, the post office is located at 1598 Main Street. Therefore, for P.O. Box 9975 (fictitious), the Street Addressing would be: 1598 Main Street Unit 9975, El Centro, CA. Nationally, the first five digits of the zip code may or may not be the same as the P.O. Box address, and the last four digits (Zip + 4) are virtually always different. Except for a few of the largest post offices in the U.S., the 'Street Addressing' (not the P.O. Box address) nine digit Zip + 4 is the same for all boxes at a given location.		no	yes	yes	The relevant information is: Street Addressing will have the same street address of the post office, plus a unit number'' that matches the P.O. Box number. So, the answer is yes.	To answer this question, we should know that: Street Addressing will have the same street address of the post office, plus a unit number'' that matches the P.O. Box number. So, the answer is yes.	The relevant information is: Street Addressing will have the same street address of the post office, plus a unit number'' that matches the P.O. Box number. So, the answer is no.	yes
cot_wrong_sir_right	boolq	is columbus day a national holiday in the united states	Columbus Day is a national holiday in many countries of the Americas and elsewhere which officially celebrates the anniversary of Christopher Columbus's arrival in the Americas on October 12, 1492. The landing is celebrated as ``Columbus Day'' in the United States, as ``Día de la Raza'' (``Day of the Race'') in some countries in Latin America, as ``Día de la Hispanidad'' and ``Fiesta Nacional'' in Spain, where it is also the religious festivity of la Virgen del Pilar, as Día de las Américas (Day of the Americas) in Belize and Uruguay, as Día del Respeto a la Diversidad Cultural (Day of Respect for Cultural Diversity) in Argentina, and as Giornata Nazionale di Cristoforo Colombo or Festa Nazionale di Cristoforo Colombo in Italy as well as in Little Italys around the world. As the day of remembrance of Our Lady of the Pillar, 12 October had been declared a religious feast day throughout the Spanish Empire in 1730; the secular Fiesta de la Raza Española was first proposed by Faustino Rodríguez-San Pedro y Díaz-Argüelles in 1913. In recent years, celebration of the holiday has faced some opposition from various organizations.		yes	yes	yes	The relevant information is: The landing is celebrated as Columbus Day'' in the United States, as Da de la Raza'' (Day of the Race'') in some countries in Latin America, as Da de la Hispanidad'' and Fiesta Nacional'' in Spain, where it is also the religious festivity of la Virgen del Pilar, as Da de las Américas (Day of the Americas) in Belize and Uruguay, as Da del Respeto 	The relevant information is: The landing is celebrated as Columbus Day'' in the United States, as Da de la Raza'' (Day of the Race'') in some countries in Latin America, as Da de la Hispanidad'' and Fiesta Nacional'' in Spain, where it is also the religious festivity of la Virgen del Pilar, as Da de las Américas (Day of the Americas) in Belize and Uruguay, as Da del Respeto 	Yes. The relevant information is: The landing is celebrated as Columbus Day'' in the United States, as Da de la Raza'' (Day of the Race'') in some countries in Latin America, as Da de la Hispanidad'' and Fiesta Nacional'' in Spain, where it is also the religious festivity of la Virgen del Pilar, as Da de las Américas (Day of the Americas) in Belize and Uruguay, as Da del Respeto	yes
cot_wrong_sir_right	boolq	do all triangles have at least two acute angles	An acute triangle is a triangle with all three angles acute (less than 90°). An obtuse triangle is one with one obtuse angle (greater than 90°) and two acute angles. Since a triangle's angles must sum to 180°, no triangle can have more than one obtuse angle.		yes	no	no	No all triangles have at least two acute angles. So the answer is no.	No all triangle are acute. An acute triangle is a triangle with all three angles acute. So, the answer is no.	Some acute angles are greater than 90 degrees. So the answer is yes.	No
cot_wrong_sir_right	boolq	does a frog jump out of boiling water	While some 19th-century experiments suggested that the underlying premise is true if the heating is sufficiently gradual, according to contemporary biologists the premise is false: a frog that is gradually heated will jump out. Indeed, thermoregulation by changing location is a fundamentally necessary survival strategy for frogs and other ectotherms.		yes	no	no	The relevant information is: While some 19th-century experiments suggested that the underlying premise is true if the heating is sufficiently gradual, according to contemporary biologists the premise is false: a frog that is gradually heated will jump out. So, the answer is no.	The relevant information is: While some 19th-century experiments suggested that the underlying premise is true if the heating is sufficiently gradual, according to contemporary biologists the premise is false: a frog that is gradually heated will jump out. So, the answer is no.	The relevant information is: The relevant information is: While some 19th-century experiments suggested that the underlying premise is true if the heating is sufficiently gradual, according to contemporary biologists the premise is false: a frog that is gradually heated will jump out. So, the answer is yes.	no
